Date ,Paddock,Transect ,Distance,Groundcover,Species 1,H1 ,Species 2,H2,Species 3,H3,,,,,,,
12/22/2016,1,1,1,L,Austrostipa bigeniculata,0.1,ISC,,,,,,,,,,
12/22/2016,1,1,2,L,ISC,,,,,,,,key-paddock,,,key- ground cover,
12/22/2016,1,1,3,L,ISC,,,,,,,,1,formans,,L,1
12/22/2016,1,1,4,L,Enteropogon acicularis ,0.05,unknown grass,0.2,Eucalyptus sp.,14,,,2,bottom 2,,B,2
12/22/2016,1,1,5,L,Eucalyptus sp.,10,,,,,,,3,Back areo,,CWD,3
12/22/2016,1,1,6,L,Eucalyptus sp.,10,,,,,,,,,,C,4
12/22/2016,1,1,7,L,unknown herb,0.1,Eucalyptus sp.,10,,,,,,,,D,5
12/22/2016,1,1,8,L,Enteropogon acicularis ,0.2,Eucalyptus sp.,14,,,,,,,,,
12/22/2016,1,1,9,L,unknown grass,0.2,ISC,,,,,,,,,,
12/22/2016,1,1,10,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,11,B,ISC,,,,,,,,,,,,
12/22/2016,1,1,12,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,13,B,ISC,,,,,,,,,,,,
12/22/2016,1,1,14,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,15,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,16,L,Sclerolaena birchii ,0.01,ISC,,,,,,,,,,
12/22/2016,1,1,17,L,Casurina pauper ,5,,,,,,,,,,,
12/22/2016,1,1,18,L,Casurina pauper ,5,,,,,,,,,,,
12/22/2016,1,1,19,L,Casurina pauper ,8,,,,,,,,,,,
12/22/2016,1,1,20,L,Casurina pauper ,8,,,,,,,,,,,
12/22/2016,1,1,21,CDW,Casurina pauper ,2,,,,,,,,,,,
12/22/2016,1,1,22,L,Casurina pauper ,3,Casurina pauper ,20,,,,,,,,,
12/22/2016,1,1,23,CWD,Casurina pauper ,8,,,,,,,,,,,
12/22/2016,1,1,24,CWD,Casurina pauper ,5,,,,,,,,,,,
12/22/2016,1,1,25,L,Casurina pauper ,10,,,,,,,,,,,
12/22/2016,1,1,26,L,Casurina pauper ,15,,,,,,,,,,,
12/22/2016,1,1,27,L,Casurina pauper ,15,,,,,,,,,,,
12/22/2016,1,1,28,L,Lepidium sp.,0.2,Eucalyptus sp.,8,Casurina pauper ,15,,,,,,,
12/22/2016,1,1,29,L,Enteropogon acicularis ,0.05,Sclerolaena birchii ,0.1,Eucalyptus sp.,10,,,,,,,
12/22/2016,1,1,30,B,Eucalyptus sp.,8,,,,,,,,,,,
12/22/2016,1,1,31,B,Eucalyptus sp.,8,,,,,,,,,,,
12/22/2016,1,1,32,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,33,B,ISC,,,,,,,,,,,,
12/22/2016,1,1,34,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,35,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,36,L,Eucalyptus sp.,15,,,,,,,,,,,
12/22/2016,1,1,37,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,38,B,Eucalyptus sp.,10,,,,,,,,,,,
12/22/2016,1,1,39,B,Eucalyptus sp.,16,,,,,,,,,,,
12/22/2016,1,1,40,B,Eucalyptus sp.,12,,,,,,,,,,,
12/22/2016,1,1,41,L,Juncus subsecundus,0.05,Eucalyptus sp.,14,,,,,,,,,
12/22/2016,1,1,42,L,Enteropogon acicularis ,0.1,Sclerolaena birchii ,0.1,Eucalyptus sp.,15,,,,,,,
12/22/2016,1,1,43,CWD,Eucalyptus sp.,15,,,,,,,,,,,
12/22/2016,1,1,44,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,45,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,46,B,ISC,,,,,,,,,,,,
12/22/2016,1,1,47,B,Sclerolaena birchii ,0.05,ISC,,,,,,,,,,
12/22/2016,1,1,48,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,49,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,50,L,Eucalyptus sp.,8,,,,,,,,,,,
12/22/2016,1,2,1,L,Eucalyptus sp.,14,,,,,,,,,,,
12/22/2016,1,2,2,L,Eucalyptus sp.,14,,,,,,,,,,,
12/22/2016,1,2,3,L,Eucalyptus sp.,16,,,,,,,,,,,
12/22/2016,1,2,4,L,ISC,,,,,,,,,,,,
12/22/2016,1,2,5,L,Eucalyptus sp.,16,,,,,,,,,,,
12/22/2016,1,2,6,L,Enteropogon acicularis ,0.01,ISC,,,,,,,,,,
12/22/2016,1,2,7,L,Casurina pauper ,8,,,,,,,,,,,
12/22/2016,1,2,8,L,Casurina pauper ,8,,,,,,,,,,,
12/22/2016,1,2,9,L,Enteropogon acicularis ,0.05,Casurina pauper ,10,,,,,,,,,
12/22/2016,1,2,10,L,Enteropogon acicularis ,0.05,Casurina pauper ,6,,,,,,,,,
12/22/2016,1,2,11,L,Casurina pauper ,6,,,,,,,,,,,
12/22/2016,1,2,12,L,Oxalis sp.,0.1,Casurina pauper ,15,,,,,,,,,
12/22/2016,1,2,13,L,Enteropogon acicularis ,0.05,Casurina pauper ,15,,,,,,,,,
12/22/2016,1,2,14,L,Austrostipa aristiglumis,0.2,Casurina pauper ,15,,,,,,,,,
12/22/2016,1,2,15,B,ISC,,,,,,,,,,,,
12/22/2016,1,2,16,B,ISC,,,,,,,,,,,,
12/22/2016,1,2,17,L,Enteropogon acicularis ,0.05,ISC,,,,,,,,,,
12/22/2016,1,2,18,B,ISC,,,,,,,,,,,,
12/22/2016,1,2,19,B,ISC,,,,,,,,,,,,
12/22/2016,1,2,20,L,Enteropogon acicularis ,0.01,Austrostipa aristiglumis,0.1,,,,,,,,,
12/22/2016,1,2,21,L,Enchylaena tomentosa,0.1,ISC,,,,,,,,,,
12/22/2016,1,2,22,L,ISC,,,,,,,,,,,,
12/22/2016,1,2,23,L,ISC,,,,,,,,,,,,
12/22/2016,1,2,24,B,ISC,,,,,,,,,,,,
12/22/2016,1,2,25,B,ISC,,,,,,,,,,,,
12/22/2016,1,2,26,B,ISC,,,,,,,,,,,,
12/22/2016,1,2,27,L,ISC,,,,,,,,,,,,
12/22/2016,1,2,28,B,Enchylaena tomentosa,0.05,ISC,,,,,,,,,,
12/22/2016,1,2,29,L,ISC,,,,,,,,,,,,
12/22/2016,1,2,30,L,ISC,,,,,,,,,,,,
12/22/2016,1,2,31,L,Eucalyptus sp.,15,,,,,,,,,,,
12/22/2016,1,2,32,L,Austrostipa bigeniculata,0.3,Sclerolaena birchii ,0.05,Eucalyptus sp.,12,,,,,,,
12/22/2016,1,2,33,L,Eucalyptus sp.,12,,,,,,,,,,,
12/22/2016,1,2,34,L,Enteropogon acicularis ,0.1,Eucalyptus sp.,12,,,,,,,,,
12/22/2016,1,2,35,B,Eucalyptus sp.,12,,,,,,,,,,,
12/22/2016,1,2,36,L,Eucalyptus sp.,12,,,,,,,,,,,
12/22/2016,1,2,37,L,Unknown grass,0.05,Eucalyptus sp.,20,,,,,,,,,
12/22/2016,1,2,38,L,ISC,,,,,,,,,,,,
12/22/2016,1,2,39,L,ISC,,,,,,,,,,,,
12/22/2016,1,2,40,B,ISC,,,,,,,,,,,,
12/22/2016,1,2,41,B,ISC,,,,,,,,,,,,
12/22/2016,1,2,42,L,Enteropogon acicularis ,0.1,ISC,,,,,,,,,,
12/22/2016,1,2,43,L,ISC,,,,,,,,,,,,
12/22/2016,1,2,44,L,Rytidosperma caesitosum,0.05,ISC,,,,,,,,,,
12/22/2016,1,2,45,L,Unknown grass,0.05,ISC,,,,,,,,,,
12/22/2016,1,2,46,L,Unknown grass,0.05,ISC,,,,,,,,,,
12/22/2016,1,2,47,B,ISC,,,,,,,,,,,,
12/22/2016,1,2,48,B,ISC,,,,,,,,,,,,
12/22/2016,1,2,49,B,ISC,,,,,,,,,,,,
12/22/2016,1,2,50,B,ISC,,,,,,,,,,,,
12/22/2016,1,3,1,B,Enchylaena tomentosa,0.1,,,,,,,,,,,
12/22/2016,1,3,2,B,Austrostipa bigeniculata,0.2,ISC,,,,,,,,,,
12/22/2016,1,3,3,L,,,,,,,,,,,,,
12/22/2016,1,3,4,B,,,,,,,,,,,,,
12/22/2016,1,3,5,B,,,,,,,,,,,,,
12/22/2016,1,3,6,B,,,,,,,,,,,,,
12/22/2016,1,3,7,L,,,,,,,,,,,,,
12/22/2016,1,3,8,L,Austrostipa bigeniculata,0.1,Austrostipa bigeniculata,0.3,,,,,,,,,
12/22/2016,1,3,9,L,,,,,,,,,,,,,
12/22/2016,1,3,10,L,Austrostipa bigeniculata,0.1,,,,,,,,,,,
12/22/2016,1,3,11,L,,,,,,,,,,,,,
12/22/2016,1,3,12,L,Rytidosperma caesitosum,0.05,Austrostipa bigeniculata,0.2,,,,,,,,,
12/22/2016,1,3,13,L,,,,,,,,,,,,,
12/22/2016,1,3,14,L,Enteropogon acicularis ,0.1,Austrostipa bigeniculata,0.05,,,,,,,,,
12/22/2016,1,3,15,L,Enteropogon acicularis ,0.05,Austrostipa bigeniculata,0.1,,,,,,,,,
12/22/2016,1,3,16,L,Austrostipa bigeniculata,0.2,Austrostipa bigeniculata,0.9,,,,,,,,,
12/22/2016,1,3,17,L,Austrostipa bigeniculata,0.2,,,,,,,,,,,
12/22/2016,1,3,18,L,Austrostipa bigeniculata,0.1,Austrostipa bigeniculata,0.4,,,,,,,,,
12/22/2016,1,3,19,L,Enteropogon acicularis ,0.1,Austrostipa bigeniculata,0.4,,,,,,,,,
12/22/2016,1,3,20,L,Austrostipa bigeniculata,0.1,Austrostipa bigeniculata,0.3,,,,,,,,,
12/22/2016,1,3,21,L,Enteropogon acicularis ,0.1,Austrostipa bigeniculata,0.3,Austrostipa bigeniculata,0.5,,,,,,,
12/22/2016,1,3,22,L,Austrostipa bigeniculata,0.1,,,,,,,,,,,
12/22/2016,1,3,23,L,,,,,,,,,,,,,
12/22/2016,1,3,24,L,Austrostipa bigeniculata,0.2,Austrostipa bigeniculata,0.3,,,,,,,,,
12/22/2016,1,3,25,L,Enteropogon acicularis ,0.1,Austrostipa bigeniculata,0.4,,,,,,,,,
12/22/2016,1,3,26,L,Austrostipa bigeniculata,0.2,Austrostipa bigeniculata,0.5,,,,,,,,,
12/22/2016,1,3,27,B,Austrostipa bigeniculata,0.3,,,,,,,,,,,
12/22/2016,1,3,28,L,Austrostipa bigeniculata,0.2,Austrostipa bigeniculata,0.5,,,,,,,,,
12/22/2016,1,3,29,L,,,,,,,,,,,,,
12/22/2016,1,3,30,L,Rytidosperma caesitosum,0.2,Austrostipa bigeniculata,0.3,,,,,,,,,
12/22/2016,1,3,31,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,3,32,L,Enteropogon acicularis ,0.2,Austrostipa bigeniculata,0.4,,,,,,,,,
12/22/2016,1,3,33,L,Enteropogon acicularis ,0.1,Austrostipa bigeniculata,0.3,,,,,,,,,
12/22/2016,1,3,34,L,Austrostipa bigeniculata,0.2,Austrostipa bigeniculata,0.4,,,,,,,,,
12/22/2016,1,3,35,B,Austrostipa bigeniculata,0.1,Austrostipa bigeniculata,0.5,,,,,,,,,
12/22/2016,1,3,36,L,Enteropogon acicularis ,0.05,Austrostipa bigeniculata,0.2,,,,,,,,,
12/22/2016,1,3,37,L,Austrostipa bigeniculata,0.1,,,,,,,,,,,
12/22/2016,1,3,38,L,Austrostipa bigeniculata,0.1,Austrostipa bigeniculata,0.3,,,,,,,,,
12/22/2016,1,3,39,L,Rytidosperma caesitosum,0.05,Austrostipa bigeniculata,0.1,,,,,,,,,
12/22/2016,1,3,40,L,Enteropogon acicularis ,0.05,Austrostipa bigeniculata,0.2,,,,,,,,,
12/22/2016,1,3,41,L,Austrostipa bigeniculata,0.05,,,,,,,,,,,
12/22/2016,1,3,42,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,3,43,L,Enteropogon acicularis ,0.01,Austrostipa bigeniculata,0.05,Austrostipa bigeniculata,0.6,,,,,,,
12/22/2016,1,3,44,L,,,,,,,,,,,,,
12/22/2016,1,3,45,L,Austrostipa bigeniculata,0.2,Enteropogon acicularis ,0.2,,,,,,,,,
12/22/2016,1,3,46,C,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,3,47,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,3,48,B,,,,,,,,,,,,,
12/22/2016,1,3,49,L,Enteropogon acicularis ,0.05,Austrostipa bigeniculata,0.3,,,,,,,,,
12/22/2016,1,3,50,L,Enteropogon acicularis ,0.1,Austrostipa bigeniculata,0.3,Austrostipa bigeniculata,0.6,,,,,,,
12/22/2016,1,4,1,L,,,,,,,,,,,,,
12/22/2016,1,4,2,L,Sida sp.,0.01,,,,,,,,,,,
12/22/2016,1,4,3,L,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/22/2016,1,4,4,L,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/22/2016,1,4,5,L,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/22/2016,1,4,6,L,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/22/2016,1,4,7,L,,,,,,,,,,,,,
12/22/2016,1,4,8,L,,,,,,,,,,,,,
12/22/2016,1,4,9,L,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/22/2016,1,4,10,L,,,,,,,,,,,,,
12/22/2016,1,4,11,L,,,,,,,,,,,,,
12/22/2016,1,4,12,L,Monachather paradoxus ,0.1,Enteropogon acicularis ,0.2,,,,,,,,,
12/22/2016,1,4,13,L,Sida sp.,,,,,,,,,,,,
12/22/2016,1,4,14,L,,,,,,,,,,,,,
12/22/2016,1,4,15,L,,,,,,,,,,,,,
12/22/2016,1,4,16,D,Enteropogon acicularis ,0.01,,,,,,,,,,,
12/22/2016,1,4,17,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,4,18,L,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/22/2016,1,4,19,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,4,20,L,,,,,,,,,,,,,
12/22/2016,1,4,21,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,4,22,L,,,,,,,,,,,,,
12/22/2016,1,4,23,L,Solanum sp.,0.05,,,,,,,,,,,
12/22/2016,1,4,24,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,4,25,L,,,,,,,,,,,,,
12/22/2016,1,4,26,L,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/22/2016,1,4,27,L,,,,,,,,,,,,,
12/22/2016,1,4,28,L,,,,,,,,,,,,,
12/22/2016,1,4,29,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,4,30,L,,,,,,,,,,,,,
12/22/2016,1,4,31,L,,,,,,,,,,,,,
12/22/2016,1,4,32,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,4,33,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,4,34,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,4,35,L,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/22/2016,1,4,36,L,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/22/2016,1,4,37,L,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/22/2016,1,4,38,L,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/22/2016,1,4,39,L,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/22/2016,1,4,40,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,4,41,L,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/22/2016,1,4,42,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,4,43,L,,,,,,,,,,,,,
12/22/2016,1,4,44,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/22/2016,1,4,45,L,,,,,,,,,,,,,
12/22/2016,1,4,46,L,,,,,,,,,,,,,
12/22/2016,1,4,47,L,,,,,,,,,,,,,
12/22/2016,1,4,48,L,,,,,,,,,,,,,
12/22/2016,1,4,49,L,,,,,,,,,,,,,
12/22/2016,1,4,50,L,,,,,,,,,,,,,
12/23/2016,2,5,1,B,Sclerolaena birchii ,0.4,,,,,,,,,,,
12/23/2016,2,5,2,B,,,,,,,,,,,,,
12/23/2016,2,5,3,B,Sclerolaena birchii ,0.05,,,,,,,,,,,
12/23/2016,2,5,4,B,,,,,,,,,,,,,
12/23/2016,2,5,5,L,ISC,,,,,,,,,,,,
12/23/2016,2,5,6,L,Casurina pauper ,8,,,,,,,,,,,
12/23/2016,2,5,7,B,Casurina pauper ,10,,,,,,,,,,,
12/23/2016,2,5,8,L,Casurina pauper ,10,Casurina pauper ,12,,,,,,,,,
12/23/2016,2,5,9,L,Rytidosperma caesitosum,0.1,Casurina pauper ,10,,,,,,,,,
12/23/2016,2,5,10,L,Enteropogon acicularis ,0.05,Casurina pauper ,10,Casurina pauper ,12,,,,,,,
12/23/2016,2,5,11,L,Casurina pauper ,10,Casurina pauper ,12,,,,,,,,,
12/23/2016,2,5,12,L,ISC,,,,,,,,,,,,
12/23/2016,2,5,13,L,ISC,,,,,,,,,,,,
12/23/2016,2,5,14,L,Rytidosperma caesitosum,0.2,,,,,,,,,,,
12/23/2016,2,5,15,L,,,,,,,,,,,,,
12/23/2016,2,5,16,L,Rytidosperma caesitosum,0.1,Sclerolaena birchii ,0.3,,,,,,,,,
12/23/2016,2,5,17,L,ISC,,,,,,,,,,,,
12/23/2016,2,5,18,L,ISC,,,,,,,,,,,,
12/23/2016,2,5,19,L,Casurina pauper ,10,,,,,,,,,,,
12/23/2016,2,5,20,B,Enteropogon acicularis ,0.1,Casurina pauper ,10,,,,,,,,,
12/23/2016,2,5,21,L,Casurina pauper ,8,,,,,,,,,,,
12/23/2016,2,5,22,L,Casurina pauper ,20,,,,,,,,,,,
12/23/2016,2,5,23,L,Casurina pauper ,14,,,,,,,,,,,
12/23/2016,2,5,24,L,Rytidosperma caesitosum,0.1,Casurina pauper ,10,,,,,,,,,
12/23/2016,2,5,25,L,Casurina pauper ,8,,,,,,,,,,,
12/23/2016,2,5,26,L,Rytidosperma caesitosum,0.05,Casurina pauper ,15,,,,,,,,,
12/23/2016,2,5,27,L,ISC,,,,,,,,,,,,
12/23/2016,2,5,28,L,ISC,,,,,,,,,,,,
12/23/2016,2,5,29,L,Casurina pauper ,8,,,,,,,,,,,
12/23/2016,2,5,30,L,Rytidosperma caesitosum,0.05,Casurina pauper ,8,,,,,,,,,
12/23/2016,2,5,31,D,,,,,,,,,,,,,
12/23/2016,2,5,32,L,ISC,,,,,,,,,,,,
12/23/2016,2,5,33,L,Casurina pauper ,8,,,,,,,,,,,
12/23/2016,2,5,34,L,Casurina pauper ,8,,,,,,,,,,,
12/23/2016,2,5,35,L,Casurina pauper ,10,,,,,,,,,,,
12/23/2016,2,5,36,L,Rytidosperma caesitosum,0.05,Sclerolaena birchii ,0.3,Casurina pauper ,4,,,,,,,
12/23/2016,2,5,37,B,Rytidosperma caesitosum,0.05,Casurina pauper ,5,,,,,,,,,
12/23/2016,2,5,38,L,Rytidosperma caesitosum,0.05,Casurina pauper ,15,,,,,,,,,
12/23/2016,2,5,39,B,Casurina pauper ,0.1,,,,,,,,,,,
12/23/2016,2,5,40,L,Enteropogon acicularis ,0.05,Casurina pauper ,15,,,,,,,,,
12/23/2016,2,5,41,L,ISC,,,,,,,,,,,,
12/23/2016,2,5,42,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/23/2016,2,5,43,B,,,,,,,,,,,,,
12/23/2016,2,5,44,D,,,,,,,,,,,,,
12/23/2016,2,5,45,D,,,,,,,,,,,,,
12/23/2016,2,5,46,B,,,,,,,,,,,,,
12/23/2016,2,5,47,L,,,,,,,,,,,,,
12/23/2016,2,5,48,L,,,,,,,,,,,,,
12/23/2016,2,5,49,L,,,,,,,,,,,,,
12/23/2016,2,5,50,B,,,,,,,,,,,,,
12/23/2016,2,6,1,B,,,,,,,,,,,,,
12/23/2016,2,6,2,D,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/23/2016,2,6,3,B,Enteropogon acicularis ,0.1,,,,,,,,,,,
12/23/2016,2,6,4,L,ISC,,,,,,,,,,,,
12/23/2016,2,6,5,L,Casurina pauper ,8,,,,,,,,,,,
12/23/2016,2,6,6,L,Enteropogon acicularis ,0.2,Casurina pauper ,8,,,,,,,,,
12/23/2016,2,6,7,L,Casurina pauper ,4,,,,,,,,,,,
12/23/2016,2,6,8,L,Casurina pauper ,2,,,,,,,,,,,
12/23/2016,2,6,9,L,Casurina pauper ,2,,,,,,,,,,,
12/23/2016,2,6,10,L,Casurina pauper ,2,,,,,,,,,,,
12/23/2016,2,6,11,L,Enteropogon acicularis ,0.1,Casurina pauper ,10,,,,,,,,,
12/23/2016,2,6,12,B,Casurina pauper ,10,,,,,,,,,,,
12/23/2016,2,6,13,L,Enteropogon acicularis ,10,Casurina pauper ,10,,,,,,,,,
12/23/2016,2,6,14,D,Casurina pauper ,10,,,,,,,,,,,
12/23/2016,2,6,15,L,Casurina pauper ,3,,,,,,,,,,,
12/23/2016,2,6,16,L,Enteropogon acicularis ,0.1,Casurina pauper ,2,,,,,,,,,
12/23/2016,2,6,17,L,Casurina pauper ,8,,,,,,,,,,,
12/23/2016,2,6,18,L,Casurina pauper ,8,,,,,,,,,,,
12/23/2016,2,6,19,L,Casurina pauper ,8,,,,,,,,,,,
12/23/2016,2,6,20,D,ISC,,,,,,,,,,,,
12/23/2016,2,6,21,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/23/2016,2,6,22,L,,,,,,,,,,,,,
12/23/2016,2,6,23,B,,,,,,,,,,,,,
12/23/2016,2,6,24,B,,,,,,,,,,,,,
12/23/2016,2,6,25,L,,,,,,,,,,,,,
12/23/2016,2,6,26,C,,,,,,,,,,,,,
12/23/2016,2,6,27,D,Austrostipa aristiglumis,0.2,,,,,,,,,,,
12/23/2016,2,6,28,B,,,,,,,,,,,,,
12/23/2016,2,6,29,L,Enteropogon acicularis ,0.05,,,,,,,,,,,
12/23/2016,2,6,30,L,Enteropogon acicularis ,0.05,ISC,,,,,,,,,,
12/23/2016,2,6,31,L,Casurina pauper ,8,,,,,,,,,,,
12/23/2016,2,6,32,L,Casurina pauper ,2,,,,,,,,,,,
12/23/2016,2,6,33,L,Casurina pauper ,2,,,,,,,,,,,
12/23/2016,2,6,34,B,Casurina pauper ,3,,,,,,,,,,,
12/23/2016,2,6,35,L,Casurina pauper ,14,,,,,,,,,,,
12/23/2016,2,6,36,L,Paspalidium constrictum,0.2,,,,,,,,,,,
12/23/2016,2,6,37,L,,,,,,,,,,,,,
12/23/2016,2,6,38,L,Enteropogon acicularis ,0.1,,,,,,,,,,,
