Date ,Paddock,Transect ,Distance,GroundCover,Species 1,H1 ,Species 2,H2,Species 3,H3
12/23/2016,2,6,39,1,Enteropogon acicularis ,0.05,Casurina pauper ,14,,
12/23/2016,2,6,40,2,Casurina pauper ,14,,,,
12/23/2016,2,6,41,1,,,,,,
12/23/2016,2,6,42,2,,,,,,
12/23/2016,2,6,43,2,,,,,,
12/23/2016,2,6,44,4,,,,,,
12/23/2016,2,6,45,4,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,6,46,1,,,,,,
12/23/2016,2,6,47,2,,,,,,
12/23/2016,2,6,48,1,Tripogon loliiformis,0.01,,,,
12/23/2016,2,6,49,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,6,50,1,Cheilanthes sp.,0.01,Enteropogon acicularis ,0.05,,
12/23/2016,2,7,1,1,,,,,,
12/23/2016,2,7,2,1,,,,,,
12/23/2016,2,7,3,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,7,4,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,5,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,7,6,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,7,1,Cheilanthes sp.,0.1,Enteropogon acicularis ,0.2,,
12/23/2016,2,7,8,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,7,9,1,,,,,,
12/23/2016,2,7,10,1,,,,,,
12/23/2016,2,7,11,1,,,,,,
12/23/2016,2,7,12,1,Enteropogon acicularis ,0.01,Enteropogon acicularis ,0.2,,
12/23/2016,2,7,13,1,,,,,,
12/23/2016,2,7,14,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,15,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,16,1,,,,,,
12/23/2016,2,7,17,1,,,,,,
12/23/2016,2,7,18,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,19,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,20,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,21,1,,,,,,
12/23/2016,2,7,22,1,,,,,,
12/23/2016,2,7,23,1,,,,,,
12/23/2016,2,7,24,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,7,25,1,,,,,,
12/23/2016,2,7,26,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,27,1,,,,,,
12/23/2016,2,7,28,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,7,29,1,,,,,,
12/23/2016,2,7,30,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,31,1,,,,,,
12/23/2016,2,7,32,1,,,,,,
12/23/2016,2,7,33,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,34,1,,,,,,
12/23/2016,2,7,35,1,Enteropogon acicularis ,0.3,,,,
12/23/2016,2,7,36,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,37,1,,,,,,
12/23/2016,2,7,38,1,,,,,,
12/23/2016,2,7,39,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,40,1,,,,,,
12/23/2016,2,7,41,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,42,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,43,1,,,,,,
12/23/2016,2,7,44,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,7,45,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,46,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,47,1,,,,,,
12/23/2016,2,7,48,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,49,1,,,,,,
12/23/2016,2,7,50,1,,,,,,
12/23/2016,2,8,1,1,Juncus subsecundus,0.1,,,,
12/23/2016,2,8,2,1,,,,,,
12/23/2016,2,8,3,5,,,,,,
12/23/2016,2,8,4,1,Juncus subsecundus,0.2,,,,
12/23/2016,2,8,5,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,8,6,1,Paspalidium constrictum,0.1,,,,
12/23/2016,2,8,7,1,,,,,,
12/23/2016,2,8,8,1,Medicargo polymorpha,0.1,,,,
12/23/2016,2,8,9,1,Juncus subsecundus,0.2,,,,
12/23/2016,2,8,10,1,,,,,,
12/23/2016,2,8,11,1,Juncus subsecundus,0.05,,,,
12/23/2016,2,8,12,1,,,,,,
12/23/2016,2,8,13,1,,,,,,
12/23/2016,2,8,14,1,Medicargo polymorpha,0.05,,,,
12/23/2016,2,8,15,1,Medicargo polymorpha,0.05,,,,
12/23/2016,2,8,16,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,8,17,1,Medicargo polymorpha,0.05,Enteropogon acicularis ,0.1,,
12/23/2016,2,8,18,1,,,,,,
12/23/2016,2,8,19,1,,,,,,
12/23/2016,2,8,20,1,,,,,,
12/23/2016,2,8,21,1,,,,,,
12/23/2016,2,8,22,1,,,,,,
12/23/2016,2,8,23,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,8,24,1,Medicargo polymorpha,0.05,,,,
12/23/2016,2,8,25,1,Medicargo polymorpha,0.05,,,,
12/23/2016,2,8,26,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,8,27,1,Medicargo polymorpha,0.1,Enteropogon acicularis ,0.2,,
12/23/2016,2,8,28,1,,,,,,
12/23/2016,2,8,29,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,8,30,1,,,,,,
12/23/2016,2,8,31,1,,,,,,
12/23/2016,2,8,32,1,,,,,,
12/23/2016,2,8,33,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,8,34,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,8,35,1,,,,,,
12/23/2016,2,8,36,1,,,,,,
12/23/2016,2,8,37,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,8,38,1,,,,,,
12/23/2016,2,8,39,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,8,40,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,8,41,1,,,,,,
12/23/2016,2,8,42,1,Enteropogon acicularis ,0.2,Medicargo polymorpha,0.1,,
12/23/2016,2,8,43,1,,,,,,
12/23/2016,2,8,44,1,Medicargo polymorpha,0.05,,,,
12/23/2016,2,8,45,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,8,46,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,8,47,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,8,48,1,,,,,,
12/23/2016,2,8,49,1,,,,,,
12/23/2016,2,8,50,1,Unknown herb,0.1,,,,
12/21/2016,3,9,1,1,Eucalyptus sp.,10,Eucalyptus sp.,15,,
12/21/2016,3,9,2,1,Paspalidium constrictum,0.1,ISC,,,
12/21/2016,3,9,3,1,ISC,,,,,
12/21/2016,3,9,4,1,Eucalyptus sp.,10,Eucalyptus sp.,18,,
12/21/2016,3,9,5,1,ISC,,,,,
12/21/2016,3,9,6,1,Austrostipa bigeniculata,0.01,ISC,,,
12/21/2016,3,9,7,1,ISC,,,,,
12/21/2016,3,9,8,1,Austrostipa bigeniculata,0.3,,,,
12/21/2016,3,9,9,1,Austrostipa bigeniculata,0.4,Austrostipa bigeniculata,1.5,Eucalyptus sp.,15
12/21/2016,3,9,10,1,ISC,,,,,
12/21/2016,3,9,11,1,Paspalidium constrictum,0.05,Eucalyptus sp.,15,,
12/21/2016,3,9,12,1,Austrostipa bigeniculata,0.3,Eucalyptus sp.,10,,
12/21/2016,3,9,13,1,Austrostipa bigeniculata,0.5,Eucalyptus sp.,8,,
12/21/2016,3,9,14,1,Einadia nutans,0.05,Austrostipa bigeniculata,0.5,Eucalyptus sp.,15
12/21/2016,3,9,15,1,Austrostipa bigeniculata,0.6,Austrostipa bigeniculata,0.1,ISC,
12/21/2016,3,9,16,1,Austrostipa bigeniculata,0.4,Austrostipa bigeniculata,0.6,ISC,
12/21/2016,3,9,17,3,Eucalyptus sp.,14,,,,
12/21/2016,3,9,18,1,Oxalis sp.,0.1,Austrostipa bigeniculata,0.2,ISC,
12/21/2016,3,9,19,3,,,,,,
12/21/2016,3,9,20,2,Eucalyptus sp.,13,,,,
12/21/2016,3,9,21,3,ISC,,,,,
12/21/2016,3,9,22,1,Enteropogon acicularis ,0.1,Austrostipa bigeniculata,0.3,Acaica sp. ,12
12/21/2016,3,9,23,1,Austrostipa bigeniculata,0.5,Acacia sp.,8,,
12/21/2016,3,9,24,1,Austrostipa bigeniculata,0.3,Acacia sp.,8,,
12/21/2016,3,9,25,1,Austrostipa bigeniculata,0.1,Austrostipa bigeniculata,0.5,,
12/21/2016,3,9,26,1,Austrostipa bigeniculata,0.6,,,,
12/21/2016,3,9,27,1,Paspalidium constrictum,0.3,,,,
12/21/2016,3,9,28,1,Austrostipa bigeniculata,0.3,,,,
12/21/2016,3,9,29,1,Paspalidium constrictum,0.1,Acacia sp.,8,,
12/21/2016,3,9,30,1,Chenopodium sp.,0.05,Rytidosperma caesitosum,0.05,Acaica sp. ,3
12/21/2016,3,9,31,1,Sida sp.,0.01,Acacia sp.,8,,
12/21/2016,3,9,32,1,Acacia sp.,10,,,,
12/21/2016,3,9,33,1,Sclerolaena birchii,5,ISC,,,
12/21/2016,3,9,34,1,Chenopodium sp.,0.05,,,,
12/21/2016,3,9,35,1,Paspalidium constrictum,0.1,,,,
12/21/2016,3,9,36,1,Paspalidium constrictum,0.3,,,,
12/21/2016,3,9,37,1,Paspalidium constrictum,0.3,Austrostipa bigeniculata,0.3,ISC,
12/21/2016,3,9,38,1,Austrostipa bigeniculata,0.4,ISC,,,
12/21/2016,3,9,39,1,ISC,,,,,
12/21/2016,3,9,40,1,Chenopodium sp.,0.1,ISC,,,
12/21/2016,3,9,41,1,Paspalidium constrictum,0.05,Sclerolaena birchii,0.3,ISC,
12/21/2016,3,9,42,1,Austrostipa bigeniculata,0.1,,,,
12/21/2016,3,9,43,1,Chenopodium sp.,0.05,,,,
12/21/2016,3,9,44,1,Paspalidium constrictum,0.1,Austrostipa bigeniculata,0.3,,
12/21/2016,3,9,45,1,Austrostipa bigeniculata,0.05,Austrostipa bigeniculata,0.4,ISC,
12/21/2016,3,9,46,1,ISC,,,,,
12/21/2016,3,9,47,1,Austrostipa bigeniculata,0.05,ISC,,,
12/21/2016,3,9,48,2,Eucalyptus sp.,15,,,,
12/21/2016,3,9,49,1,Eucalyptus sp.,15,,,,
12/21/2016,3,9,50,1,Eucalyptus sp.,15,,,,
12/21/2016,3,10,1,1,Wahlenbergia sp. ,0.01,Calotis sp.,0.05,,
12/21/2016,3,10,2,1,,,,,,
12/21/2016,3,10,3,1,,,,,,
12/21/2016,3,10,4,1,Enteropogon acicularis ,0.05,,,,
12/21/2016,3,10,5,1,Sclerolaena birchii,0.2,,,,
12/21/2016,3,10,6,1,Sporobolus sp.,0.4,,,,
12/21/2016,3,10,7,1,Sclerolaena birchii,0.4,,,,
12/21/2016,3,10,8,1,Sclerolaena birchii,0.3,,,,
12/21/2016,3,10,9,2,,,,,,
12/21/2016,3,10,10,2,Sclerolaena birchii,0.4,,,,
12/21/2016,3,10,11,1,Sclerolaena birchii,0.01,,,,
12/21/2016,3,10,12,1,Solanum sp.,0.05,,,,
12/21/2016,3,10,13,2,,,,,,
12/21/2016,3,10,14,2,,,,,,
12/21/2016,3,10,15,1,,,,,,
12/21/2016,3,10,16,1,Sida sp.,0.05,Sclerolaena birchii,0.3,,
12/21/2016,3,10,17,1,ISC,,,,,
12/21/2016,3,10,18,1,Einadia nutans ,0.1,Eucalyptus sp.,18,,
12/21/2016,3,10,19,1,ISC,,,,,
12/21/2016,3,10,20,1,Einadia nutans ,0.01,ISC,,,
12/21/2016,3,10,21,1,Einadia nutans ,0.01,ISC,,,
12/21/2016,3,10,22,1,Eucalyptus sp.,15,Eucalyptus sp.,20,,
12/21/2016,3,10,23,1,Eucalyptus sp.,4,Eucalyptus sp.,18,,
12/21/2016,3,10,24,1,Einadia nutans ,0.05,Eucalyptus sp.,5,Eucalyptus sp.,15
12/21/2016,3,10,25,1,Eucalyptus sp.,6,Eucalyptus sp.,16,,
12/21/2016,3,10,26,1,Eucalyptus sp.,15,,,,
12/21/2016,3,10,27,1,Enteropogon acicularis ,0.2,Eucalyptus sp.,20,,
12/21/2016,3,10,28,1,Eucalyptus sp.,14,,,,
12/21/2016,3,10,29,1,Eucalyptus sp.,10,,,,
12/21/2016,3,10,30,1,Eucalyptus sp.,15,Eucalyptus sp.,20,,
12/21/2016,3,10,31,1,Sclerolaena birchii,0.2,Eucalyptus sp.,15,,
12/21/2016,3,10,32,1,Eucalyptus sp.,15,Eucalyptus sp.,25,,
12/21/2016,3,10,33,1,Enteropogon acicularis ,0.1,Eucalyptus sp.,15,,
12/21/2016,3,10,34,1,Enteropogon acicularis ,0.2,ISC,,,
12/21/2016,3,10,35,1,,,,,,
12/21/2016,3,10,36,1,Sida sp.,0.1,,,,
12/21/2016,3,10,37,1,Chenopodium sp.,0.1,,,,
12/21/2016,3,10,38,1,Chenopodium sp.,0.1,ISC,,,
12/21/2016,3,10,39,1,Eucalyptus sp.,15,,,,
12/21/2016,3,10,40,1,ISC,,,,,
12/21/2016,3,10,41,1,Eucalyptus sp.,15,,,,
12/21/2016,3,10,42,1,Einadia nutans ,0.05,Eucalyptus sp.,15,,
12/21/2016,3,10,43,1,Paspalidium constrictum ,0.1,Eucalyptus sp.,15,,
12/21/2016,3,10,44,1,Dichondra sp.,0.01,Eucalyptus sp.,15,,
12/21/2016,3,10,45,1,Eucalyptus sp.,15,,,,
12/21/2016,3,10,46,3,Eucalyptus sp.,12,Eucalyptus sp.,18,,
12/21/2016,3,10,47,1,Eucalyptus sp.,4,Eucalyptus sp.,10,Eucalyptus sp.,15
12/21/2016,3,10,48,1,Eucalyptus sp.,2,,,,
12/21/2016,3,10,49,1,Eucalyptus sp.,4,,,,
12/21/2016,3,10,50,2,Geijera parviflora ,10,Eucalyptus sp.,15,,
12/21/2016,3,11,1,1,Enteropogon acicularis ,0.1,,,,
12/21/2016,3,11,2,1,,,,,,
12/21/2016,3,11,3,1,Enteropogon acicularis ,0.1,,,,
12/21/2016,3,11,4,1,,,,,,
12/21/2016,3,11,5,1,,,,,,
12/21/2016,3,11,6,1,,,,,,
12/21/2016,3,11,7,1,Echium plantagineum ,0.05,,,,
12/21/2016,3,11,8,1,,,,,,
12/21/2016,3,11,9,1,,,,,,
12/21/2016,3,11,10,1,Enteropogon acicularis ,0.05,,,,
12/21/2016,3,11,11,1,,,,,,
12/21/2016,3,11,12,2,Enteropogon acicularis ,0.05,,,,
12/21/2016,3,11,13,2,,,,,,
12/21/2016,3,11,14,1,Enteropogon acicularis ,0.05,,,,
12/21/2016,3,11,15,1,,,,,,
12/21/2016,3,11,16,1,Enteropogon acicularis ,0.05,,,,
12/21/2016,3,11,17,2,,,,,,
12/21/2016,3,11,18,2,,,,,,
12/21/2016,3,11,19,1,Enteropogon acicularis ,0.05,,,,
12/21/2016,3,11,20,2,Enteropogon acicularis ,0.05,,,,
12/21/2016,3,11,21,2,,,,,,
12/21/2016,3,11,22,2,,,,,,
12/21/2016,3,11,23,1,Sida sp.,0.01,,,,
12/21/2016,3,11,24,2,,,,,,
12/21/2016,3,11,25,2,,,,,,
12/21/2016,3,11,26,1,,,,,,
12/21/2016,3,11,27,2,,,,,,
12/21/2016,3,11,28,1,,,,,,
12/21/2016,3,11,29,2,,,,,,
12/21/2016,3,11,30,1,Enteropogon acicularis ,0.05,,,,
12/21/2016,3,11,31,2,,,,,,
12/21/2016,3,11,32,2,,,,,,
12/21/2016,3,11,33,2,,,,,,
12/21/2016,3,11,34,2,,,,,,
12/21/2016,3,11,35,2,,,,,,
12/21/2016,3,11,36,2,Unknown herb,0.05,,,,
12/21/2016,3,11,37,2,,,,,,
12/21/2016,3,11,38,2,,,,,,
12/21/2016,3,11,39,1,Enteropogon acicularis ,0.1,,,,
12/21/2016,3,11,40,1,,,,,,
12/21/2016,3,11,41,1,,,,,,
12/21/2016,3,11,42,1,Unknown herb,0.1,,,,
12/21/2016,3,11,43,1,,,,,,
12/21/2016,3,11,44,1,Enteropogon acicularis ,0.05,,,,
12/21/2016,3,11,45,1,,,,,,
12/21/2016,3,11,46,1,ISC,,,,,
12/21/2016,3,11,47,1,,,,,,
12/21/2016,3,11,48,1,Enteropogon acicularis ,0.05,,,,
12/21/2016,3,11,49,1,,,,,,
12/21/2016,3,11,50,1,,,,,,
12/21/2016,3,12,1,1,Rytidosperma caesitosum,0.3,,,,
12/21/2016,3,12,2,1,,,,,,
12/21/2016,3,12,3,1,Enteropogon acicularis ,0.1,,,,
12/21/2016,3,12,4,2,,,,,,
12/21/2016,3,12,5,2,,,,,,
12/21/2016,3,12,6,1,Enteropogon acicularis ,0.1,,,,
12/21/2016,3,12,7,2,,,,,,
12/21/2016,3,12,8,1,Enteropogon acicularis ,0.2,,,,
12/21/2016,3,12,9,2,,,,,,
12/21/2016,3,12,10,2,,,,,,
12/21/2016,3,12,11,2,,,,,,
12/21/2016,3,12,12,1,,,,,,
12/21/2016,3,12,13,1,Oxalis ,0.1,,,,
12/21/2016,3,12,14,1,,,,,,
12/21/2016,3,12,15,1,Enteropogon acicularis ,0.05,,,,
12/21/2016,3,12,16,1,Enteropogon acicularis ,0.3,,,,
12/21/2016,3,12,17,1,,,,,,
12/21/2016,3,12,18,1,Enteropogon acicularis ,0.2,,,,
12/21/2016,3,12,19,1,,,,,,
12/21/2016,3,12,20,1,,,,,,
12/21/2016,3,12,21,1,Sida sp.,0.01,,,,
12/21/2016,3,12,22,2,,,,,,
12/21/2016,3,12,23,2,Enteropogon acicularis ,0.1,,,,
12/21/2016,3,12,24,1,,,,,,
12/21/2016,3,12,25,1,Enteropogon acicularis ,0.1,,,,
12/21/2016,3,12,26,1,,,,,,
12/21/2016,3,12,27,2,Enteropogon acicularis ,0.2,,,,
12/21/2016,3,12,28,1,,,,,,
12/21/2016,3,12,29,2,Enteropogon acicularis ,0.2,Rytidosperma caesitosum,0.05,,
12/21/2016,3,12,30,2,Enteropogon acicularis ,0.3,,,,
12/21/2016,3,12,31,1,,,,,,
12/21/2016,3,12,32,2,,,,,,
12/21/2016,3,12,33,1,,,,,,
12/21/2016,3,12,34,1,,,,,,
12/21/2016,3,12,35,1,Enteropogon acicularis ,0.1,,,,
12/21/2016,3,12,36,2,,,,,,
12/21/2016,3,12,37,2,Enteropogon acicularis ,0.2,,,,
12/21/2016,3,12,38,2,Enteropogon acicularis ,0.3,,,,
12/21/2016,3,12,39,1,,,,,,
12/21/2016,3,12,40,2,,,,,,
12/21/2016,3,12,41,1,Enteropogon acicularis ,0.2,,,,
12/21/2016,3,12,42,1,Enteropogon acicularis ,0.05,,,,
12/21/2016,3,12,43,1,Cyperacea,0.4,,,,
12/21/2016,3,12,44,1,,,,,,
12/21/2016,3,12,45,1,,,,,,
12/21/2016,3,12,46,1,Enteropogon acicularis ,0.2,,,,
12/21/2016,3,12,47,2,,,,,,
12/21/2016,3,12,48,1,,,,,,
12/21/2016,3,12,49,1,Cyperacea,0.2,,,,
12/21/2016,3,12,50,1,Enteropogon acicularis ,0.05,,,,
